slice,n,accuracy,accuracy_ci_low,accuracy_ci_high,f1_macro
b2b_industrial,37,0.4865,0.3345,0.6411,0.4483
fintech,45,0.2889,0.1773,0.4337,0.2849
food_delivery,71,0.3662,0.2637,0.4824,0.3392
