predictor,language_a,language_b,hits_a,misses_a,hits_b,misses_b,recall_a,recall_b,p_fisher_two_sided
floor,de,en,0,8,8,33,0.0,0.1951,0.322019
ml,de,en,5,3,39,2,0.625,0.9512,0.025616
llm,de,en,7,1,36,5,0.875,0.878,1.0
llm_production,de,en,5,3,22,19,0.625,0.5366,0.715334
