task,pair,n_pairs,acc_first,acc_second,b_first_only_correct,c_second_only_correct,p_exact_two_sided,p_minority_gains_one,p_majority_loses_one,p_one_pair_swaps
sentiment,floor_vs_ml,153,0.3725,0.7843,15,78,0.0,0.0,0.0,0.0
sentiment,floor_vs_llm_production,153,0.3725,0.8431,7,79,0.0,0.0,0.0,0.0
sentiment,ml_vs_llm_production,153,0.7843,0.8431,9,18,0.122078,0.184933,0.168638,0.247789
risk,floor_vs_ml,106,0.4057,0.6792,8,37,1.5e-05,4.1e-05,2.5e-05,6.6e-05
risk,floor_vs_llm_production,106,0.4057,0.5849,4,23,0.000311,0.000912,0.000534,0.001514
risk,ml_vs_llm_production,106,0.6792,0.5849,27,17,0.174171,0.232693,0.222053,0.291215
