slice,n,accuracy,accuracy_ci_low,accuracy_ci_high,f1_macro
amazon,26,0.5,0.3206,0.6794,0.3501
apple_app_store,38,0.2895,0.17,0.4476,0.2712
google_play,10,0.5,0.2366,0.7634,0.2381
hornbach,6,0.6667,0.3,0.9032,0.5833
obi,5,0.2,0.0362,0.6245,0.1667
trustpilot,68,0.3382,0.2371,0.4566,0.3243
