slice,n,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
cs,6,0.3333,0.1667,0.1667,0.1667,0.3333,0.3333,0.3333
de,5,0.4,0.4167,0.5,0.3556,0.45,0.4,0.3467
el,8,0.375,0.5,0.2778,0.3556,0.6875,0.375,0.4833
en,21,0.4286,0.5382,0.4667,0.4236,0.7479,0.4286,0.5131
es,6,0.6667,0.7778,0.7222,0.6556,0.8889,0.6667,0.7056
no,12,0.25,0.4861,0.4643,0.2741,0.5382,0.25,0.2685
sv,14,0.3571,0.6204,0.575,0.363,0.8472,0.3571,0.3794
